Name,Address,Phone,Blood Units,Plasma Units,Platelet Units
BioLife Plasma Services - Kennesaw,"425 Ernest W Barrett Pkwy NW Ste 4000, Kennesaw, GA 30144",7709423500,665,35,116
ADMA Bio Centers,"3000 Windy Hill Rd SE UNIT 220, Marietta, GA 30067",6785047333,258,646,405
"LifeSouth Community Blood Center - Atlanta, GA","4891 Ashford Dunwoody Rd NE, Atlanta, GA 30338",4043291994,48,777,913
Cobb Red Cross Blood Donation Center ,"2145 Roswell Rd, Suite 250 East Lake, Marietta, GA 30062",8007332767,618,35,62
Alpharetta Red Cross Blood Donation Center,"3000 Old Alabama Rd Suite 110B, Alpharetta, GA 30022",8007332767,33,654,758
ADMA Bio Centers - Kennesaw,"166 Ernest W Barrett Pkwy NW, Marietta, GA 30066",7707799222,151,825,730
Midtown Atlanta Blood Center,"1955 Monroe Dr NE, Atlanta, GA 30324",8007332767,411,278,918
Atlanta Blood Services - Atlanta,"5670 Peachtree Dunwoody Rd #100, Atlanta, GA 30342",4044598744,644,320,386
Octapharma Plasma - Atlanta,"3363 Buford Hwy NE, Atlanta, GA 30329",4044719921,558,417,713
Biomat USA - Marietta,"3000 Windy Hill Rd SE Suite 220, Marietta, GA 30067",6785047333,227,873,842
CSL Plasma - Smyrna,"3201 S Cobb Dr SE Suite A, Smyrna, GA 30080",7705045101,321,713,665
Duluth Red Cross,"3090 Premiere Pkwy #500, Duluth, GA 30097",8007332767,340,242,945
Blood Assurance - Cartersville,"334 Cherokee Pl, Cartersville, GA 30121",7703343261,433,248,998
"LifeSouth Community Blood Center - Cumming, GA","1550 Market Pl Blvd, Cumming, GA 30041",8887952707,591,590,137
Cord Blood Solutions - Suwanee,"5400 Laurel Springs Pkwy STE 1401, Suwanee, GA 30024",6785845755,373,468,442
CSL Plasma - Decatur,"1283 Columbia Dr, Decatur, GA 30032",4044248503,858,152,800
CSL Plasma - East Point,"1043 Cleveland Ave, East Point, GA 30344",4049025749,870,708,747
BioLife Plasma Services - Douglasville,"3026 Chapel Hill Rd, Douglasville, GA 30135",7709423500,114,885,969
CSL Plasma - Blue Ridge,"273 Orvin Lance Dr, Blue Ridge, GA 30513",7063079823,471,229,338
Octapharma Plasma - Decatur,"4570 Memorial Dr Ste a, Decatur, GA 30032",4042929244,738,884,321
CSL Plasma - Lawrenceville,"2150 Riverside Pkwy, Lawrenceville, GA 30043",6782291665,635,390,698
CSL Plasma - Stone Mountain,"937 N Hairston Rd Suite 1, Stone Mountain, GA 30083",7707832475,120,994,206
Life South Community Blood Center,"1200 McEver Rd, Gainesville, GA 30504",7705380500,350,639,580
Cord Blood Solutions - Duluth,"9810 Medlock Bridge Rd # A, Duluth, GA 30097",6785845755,449,757,546
Duluth American Red Cross Blood Donation Center,"2718 Meadow Church Rd, Duluth, GA 30097",7707101852,940,779,709
BioMat USA - Norcross,"6290 Jimmy Carter Blvd Suite 208, Norcross, GA 30071",6784955801,981,599,411
Fayetteville Blood and Platelet Donation Center,"100 Promenade Pkwy, Fayetteville, GA 30214",8007332767,736,284,712
KEDPLASMA - Atlanta,"6445 Old National Hwy, Atlanta, GA 30349",4704401990,136,88,847
KEDPLASMA - Tucker,"5995 Lawrenceville Hwy, Tucker, GA 30084",7702618490,898,100,647
BioLife Plasma Services - Duluth,"1625 Pleasant Hill Rd Ste 130, Duluth, GA 30096",7702437969,190,810,246
BLOOD BANK DEPOT,"4813 Ridge Road Suite 111, 79, Douglasville, GA 30134",8009485024,177,240,943
Blood Assurance - Rome,"178 Shorter Ave #168, Rome, GA 30165",7062359853,111,810,961
Atlanta Blood Services - Marietta,"220 Cobb Pkwy N, Marietta, GA 30062",4044598744,178,567,136
Immucor Gamma," 2935 Amwiler Rd NW D, Atlanta, GA 30360",6789699435,979,333,905
National Blood Testing Cooperative / LifeSouth,"1625 Rock Mountain Blvd, Stone Mountain, GA 30083",6789996796,912,705,543
CSL Plasma - Rome,"530 Decatur St, Rome, GA 30165",7705546282,525,962,52
American Red Cross Blood Donation,American Red Cross Blood Donation,4041568166,51,733,645
Fayetteville Red Cross Blood Donation Center,"100 Promenade Pkwy, Fayetteville, GA 30214",9108693237,527,52,26
BioMat USA - Macon,"630 North Ave, Macon, GA 31211",4787457626,603,326,882
CSL Plasma - Macon ,"3353 Mercer University Dr, Macon, GA 31204",4782925996,591,23,37
BioLife Plasma Services - Warner Robins,"4035 Watson Blvd, Warner Robins, GA 31093",4789710720,579,473,479
CSL Plasma - Warner Robins,"1331 Green St, Warner Robins, GA 31093",4782366271,59,616,12
Octapharma Plasma - Columbus,"3472 Macon Rd, Columbus, GA 31907",7064054645,685,834,995
Biomat USA - Valdosta,"311 N Patterson St, Valdosta, GA 31601",2293378558,337,298,36
Lifesouth Community Blood Centers - Valdosta,"301 Woodrow Wilson Dr, Valdosta, GA 31602",2292191616,443,695,81
Talecris Plasma Resources - Albany,"2438 Clark Ave, Albany, GA 31705",2294208456,897,713,943
Biomat USA - Hinesville,"108 W Hendry St, Hinesville, GA 31313",9122556150,239,633,4
OneBlood - Kingsland,"6586 GA-40, Kingsland, GA 31548",9125766855,40,236,539
OneBlood - Douglas,"1214 N Peterson Ave, Douglas, GA 31533",9123837339,192,726,864
Southeast Georgia Donation Center,"6586 GA-40, St Marys, GA 31558",9125766855,717,817,479
Octapharma Plasma - Valdosta,"1713 Norman Dr, Valdosta, GA 31601",2295588791,264,909,763
Immunotek Bio Centers,"300 S Slappey Blvd, Albany, GA 31701",2293025709,92,628,25
American Red Cross - Tifton,"211 W 4th St, Tifton, GA 31794",2293823133,662,315,265
Southeastern Community Blood,"2705 E Pinetree Blvd STE D, Thomasville, GA 31792",2292280445,657,751,297
American Red Cross - Moultrie,"105 Sunset Cir, Moultrie, GA 31768",2299856924,401,971,281
Lifesouth Community Blood Center - Dothan,"3833 Ross Clark Cir, Dothan, AL 36303",3347929977,123,635,641
American Red Cross - Valdosta,"509 N Patterson St Suite 201, Valdosta, GA 31601",2292427404,971,287,659
Talecris Plasma Resources - Columbus,"4335 Victory Dr, Columbus, GA 31903",7066871071,670,273,141
BioLife Plasma Services - Savannah,"3603 Ogeechee Rd, Savannah, GA 31405",9122356517,763,427,329
Savannah Red Cross Blood Donation Center,"25 Tibet Ave, Savannah, GA 31406",8007332767,820,765,865
Savannah Community Blood Bank,"Metts Dr, Savannah, GA 31404",9123505643,815,618,485
The Blood Connection,"1915 E Victory Dr Suite 2A, Savannah, Ga 31401",9127771011,616,881,533
Biomat USA - Savannah,"8805 White Bluff Road Suite G, H, J, Savannah, GA 31406",9129274005,715,92,977
American Red Cross - Statesboro,"515 Denmark St # 1000, Statesboro, GA 30458",9127644468,524,96,285
American Red Cross - Savannah,"41 Park of Commerce Way Bldg 200, Savannah, GA 31405",9126515300,588,44,550
Shepeard Community Blood Center - Augusta,"1533 Wrightsboro Rd, Augusta, GA 30904",7067374551,105,969,562
Shepeard Community Blood Center - Evans,"4329 Washington Rd, Evans, GA 30809",7068541582,418,386,765
BioLife Plasma Services - Augusta,"270 Bobby Jones Expy Ste 164, Augusta, GA 30907",7066192860,524,850,549
Biomat USA - Augusta,"2704 Peach Orchard Rd, Augusta, GA 30906",7067983061,61,348,474
KEDPLASMA - Augusta ,"3160 Wrightsboro Rd, Augusta, GA 30909",7067339158,430,456,544
Kendrick Memorial Blood Center,"BDC-001, 48 Central Hospital Court, Augusta, GA 30905",7067872800,941,550,119
Octapharma Plasma - Augusta,"1333 Augusta W Pkwy Ste 20A, Augusta, GA 30909",7067760461,369,130,661
CSL Plasma - Augusta,"3457 Peach Orchard Rd, Augusta, GA 30906",7069551526,553,869,553
Shepeard Community Blood Center - Aiken,Shepeard Community Blood Center - Aiken,8036437996,47,337,579
Athens Red Cross Blood Donation Center,"3525 Atlanta Hwy, Athens, GA 30606",8007332767,58,569,838
Octapharma Plasma - Athens,"1055 Gaines School Rd Ste 105, Athens, GA 30605",7064101298,140,455,260
"Biomat USA - Atlanta Hwy, Athens","3190 Atlanta Hwy, Athens, GA 30606",7067156628,232,723,228
Biomat USA - Athens,"233 W Hancock Ave, Athens, GA 30601",7063543898,404,522,324
University Cancer & Blood Center,"2151 W Spring St Ste B200, Monroe, GA 30655",7702670724,192,467,795
Blood Assurance - Fort Ogelthorpe,"2720 Lafayette Rd, Fort Oglethorpe, GA 30742",7068615983,386,501,508
Blood Assurance - Dalton,"8437, 785 Shugart Rd #5, Dalton, GA 30720",7062267735,478,124,184
CSL Plasma - Dalton,"902 Abutment Rd, Dalton, GA 30721",7066716888,432,544,218
American Red Cross - Rome,"112 John Maddox Dr, Rome, GA 30165",8445366226,813,245,269
American Red Cross - Blue Ridge,"205 Church St, Blue Ridge, GA 30513",7066329331,841,868,103
American Red Cross - Toccoa,"1216 Falls Rd, Toccoa, GA 30577",8007332767,632,800,27
American Red Cross - Columbus,"6501 Veterans Pkwy #3B, Columbus, GA 31909",7063235614,246,60,423
Columbus Blood Donation Center,"7490 Veterans Pkwy, Columbus, GA 31909",8007332767,860,405,479
BioLife Plasma Services ,"6267 Veterans Pkwy, Columbus, GA 31909",7062255465,463,25,454
Sullivan Memorial Blood Center,"9231 2nd Infantry Division Rd Bldg 3380, Columbus, GA 31907",7065440071,482,666,291
OneBlood - Thomasville,"14815 US-19 #800, Thomasville, GA 31792",2292289980,586,151,752
Best Friends Blood Bank,"217 N McDonough St, Decatur, GA 30030",6785923985,133,13,392
LifeSouth Community Blood Center - Augusta,"4329 Washington Rd, Evans, GA 30809",7068541582,456,798,528
OneBlood - Columbus,"2421 Wynnton Rd, Columbus, GA 31906",7063215881,832,73,498
American Red Cross - Fargo,"84 US-441, Fargo, GA 31631",9126375322,444,209,514
American Red Cross - Kingsland,"1947 Commerce Dr, Kingsland, GA 31548",9128825712,689,949,863
CSL Plasma - Brunswick,"13 St Andrews Ct, Brunswick, GA 31520",9123035855,647,998,312
OneBlood - Jesup,"192 E Cherry St, Jesup, GA 31546",9125498811,904,17,211
Biomat USA - Baxley,"245 Industrial Dr, Baxley, GA 31513",9123667844,310,601,653
Octapharma - Royston,"930 Franklin Springs St a, Royston, GA 30662",7062455051,300,136,144
